intent,user_input,response
comparacao,Naruto é melhor que one piece?,Isso varia muito do gosto de cada fã. 😊
saudacao,mano oi,Oi! Como posso ajudar sobre animes hoje? 😊
curiosidade,me responde aí: qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
episodios,me responde aí: quantos episódios tem Naruto?,Naruto clássico possui 220 episódios.
personagem,me responde aí: quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin.
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. 😊"
saudacao,Oi,Oi! Como posso ajudar sobre animes hoje? 😊
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. Posso recomendar mais.
curiosidade,qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
recomendacao,me responde aí: anime engraçado,Spy x Family é uma ótima escolha. 😊
personagem,quem é o Levi??,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Curte esse tipo?
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante.
despedida,me responde aí: tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
personagem,mano quem é o Levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto. Curte esse tipo?
comparacao,mano qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
episodios,Quantos eps tem demon slayer?,Claro! Demon Slayer possui várias temporadas e filmes.
recomendacao,me responde aí: quero um anime triste,Claro! Your Lie in April costuma emocionar bastante.
poderes,qual o poder do Goku??,Goku utiliza o Ki e diversas transformações Saiyajin.
comparacao,me responde aí: quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. 😊
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Claro! Astro Boy foi um dos primeiros animes populares.
poderes,me responde aí: o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
curiosidade,QUAL ANIME MAIS LONGO?,Claro! Sazae-san é considerado o anime mais longo da história.
personagem,quem é o Naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
curiosidade,mano qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto. Curte esse tipo?
comparacao,qual anime é mais famoso??,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
poderes,mano o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Posso recomendar mais.
poderes,me responde aí: o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
episodios,One Piece acabou??,"Não, One Piece ainda está em exibição. Curte esse tipo?"
poderes,me responde aí: o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha.
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
saudacao,mano oi,Oi! Como posso ajudar sobre animes hoje? Posso recomendar mais.
recomendacao,Anime engraçado,Claro! Spy x Family é uma ótima escolha.
comparacao,Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Posso recomendar mais.
personagem,me responde aí: quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
saudacao,BOM DIA,Bom dia! Quer conversar sobre qual anime?
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
episodios,Quantos eps tem demon slayer?,Demon Slayer possui várias temporadas e filmes. Curte esse tipo?
curiosidade,QUAL ANIME MAIS LONGO?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
recomendacao,me responde aí: quero um anime triste,Claro! Your Lie in April costuma emocionar bastante.
poderes,mano o que é sharingan?,Claro! Sharingan é uma habilidade ocular do clã Uchiha.
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Astro Boy foi um dos primeiros animes populares. 😊
saudacao,BOM DIA,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
saudacao,mano eae,Fala! Curte anime também? 😊
poderes,O que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
despedida,mano falou,Claro! Falou! Depois voltamos ao mundo dos animes.
despedida,me responde aí: até logo,Claro! Até logo! Espero que encontre um anime incrível.
saudacao,Bom dia,Bom dia! Quer conversar sobre qual anime? 😊
recomendacao,ME RECOMENDA UM ANIME DE AÇÃO,Você pode gostar de Attack on Titan. Curte esse tipo?
curiosidade,QUEM CRIOU NARUTO?,Naruto foi criado por Masashi Kishimoto. 😊
comparacao,mano qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
episodios,ONE PIECE ACABOU?,"Claro! Não, One Piece ainda está em exibição."
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Posso recomendar mais.
comparacao,me responde aí: quem vence Goku ou Naruto?,Claro! Depende das regras da comparação e do universo.
poderes,me responde aí: o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha.
despedida,Tchau,Até mais! Bons episódios pra você.
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
personagem,Quem é o naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição. Curte esse tipo?"
curiosidade,QUAL ANIME MAIS LONGO?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
comparacao,qual anime é mais famoso??,Claro! One Piece e Dragon Ball estão entre os mais populares.
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
recomendacao,me responde aí: me recomenda um anime de ação,Claro! Você pode gostar de Attack on Titan.
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
episodios,mano quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. Posso recomendar mais.
episodios,QUANTOS EPS TEM DEMON SLAYER?,Demon Slayer possui várias temporadas e filmes.
episodios,One Piece acabou??,"Não, One Piece ainda está em exibição. Curte esse tipo?"
episodios,One Piece acabou??,"Não, One Piece ainda está em exibição. Curte esse tipo?"
comparacao,me responde aí: quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Posso recomendar mais.
episodios,QUANTOS EPISÓDIOS TEM NARUTO?,Naruto clássico possui 220 episódios. Curte esse tipo?
saudacao,me responde aí: oi,Claro! Oi! Como posso ajudar sobre animes hoje?
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
despedida,Tchau,Até mais! Bons episódios pra você. 😊
despedida,mano até logo,Até logo! Espero que encontre um anime incrível.
poderes,O QUE É BANKAI?,Claro! Bankai é a forma avançada da espada dos shinigamis em Bleach.
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Curte esse tipo?
recomendacao,Anime engraçado,Spy x Family é uma ótima escolha. 😊
recomendacao,me responde aí: anime engraçado,Spy x Family é uma ótima escolha.
despedida,me responde aí: tchau,Claro! Até mais! Bons episódios pra você.
despedida,mano tchau,Até mais! Bons episódios pra você. 😊
saudacao,Oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
episodios,mano quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. 😊
despedida,FALOU,Falou! Depois voltamos ao mundo dos animes. Posso recomendar mais.
comparacao,me responde aí: qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
personagem,quem é o Levi??,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
recomendacao,me responde aí: me recomenda um anime de ação,Claro! Você pode gostar de Attack on Titan.
poderes,QUAL O PODER DO GOKU?,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
curiosidade,QUAL ANIME MAIS LONGO?,Claro! Sazae-san é considerado o anime mais longo da história.
saudacao,me responde aí: bom dia,Bom dia! Quer conversar sobre qual anime? Curte esse tipo?
recomendacao,anime engraçado,Spy x Family é uma ótima escolha. Curte esse tipo?
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. Curte esse tipo?
comparacao,qual anime é mais famoso??,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
episodios,quantos episódios tem Naruto?,Claro! Naruto clássico possui 220 episódios.
curiosidade,QUEM CRIOU NARUTO?,Claro! Naruto foi criado por Masashi Kishimoto.
despedida,mano até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
recomendacao,Quero um anime triste,Your Lie in April costuma emocionar bastante.
recomendacao,Me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
comparacao,mano quem vence Goku ou Naruto?,Claro! Depende das regras da comparação e do universo.
episodios,Quantos eps tem demon slayer?,Demon Slayer possui várias temporadas e filmes.
recomendacao,anime engraçado,Spy x Family é uma ótima escolha. Posso recomendar mais.
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. Posso recomendar mais.
comparacao,quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Posso recomendar mais.
personagem,Quem é o gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
poderes,qual o poder do Goku?,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
episodios,mano quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. 😊
comparacao,Naruto é melhor que one piece?,Claro! Isso varia muito do gosto de cada fã.
comparacao,NARUTO É MELHOR QUE ONE PIECE?,Isso varia muito do gosto de cada fã. Curte esse tipo?
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
saudacao,eae,Fala! Curte anime também? Curte esse tipo?
despedida,me responde aí: tchau,Claro! Até mais! Bons episódios pra você.
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
saudacao,eae,Fala! Curte anime também?
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
curiosidade,qual foi o primeiro anime??,Astro Boy foi um dos primeiros animes populares. Posso recomendar mais.
curiosidade,mano qual foi o primeiro anime?,Claro! Astro Boy foi um dos primeiros animes populares.
comparacao,Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Curte esse tipo?
despedida,TCHAU,Claro! Até mais! Bons episódios pra você.
poderes,O que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. 😊
despedida,Tchau,Claro! Até mais! Bons episódios pra você.
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. 😊
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Claro! Astro Boy foi um dos primeiros animes populares.
recomendacao,quero um anime triste?,Your Lie in April costuma emocionar bastante. 😊
episodios,quantos episódios tem Naruto??,Claro! Naruto clássico possui 220 episódios.
episodios,mano quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
recomendacao,quero um anime triste?,Your Lie in April costuma emocionar bastante. 😊
personagem,quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. 😊
poderes,o que é bankai??,Bankai é a forma avançada da espada dos shinigamis em Bleach.
curiosidade,quem criou Naruto??,Naruto foi criado por Masashi Kishimoto. 😊
despedida,me responde aí: tchau,Até mais! Bons episódios pra você. Curte esse tipo?
saudacao,EAE,Fala! Curte anime também? Posso recomendar mais.
recomendacao,Anime engraçado,Claro! Spy x Family é uma ótima escolha.
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto.
despedida,tchau,Até mais! Bons episódios pra você.
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. 😊
curiosidade,mano qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Posso recomendar mais.
saudacao,eae?,Fala! Curte anime também? Curte esse tipo?
comparacao,mano Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Curte esse tipo?
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime? Posso recomendar mais.
recomendacao,QUERO UM ANIME TRISTE,Your Lie in April costuma emocionar bastante.
recomendacao,QUERO UM ANIME TRISTE,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
episodios,mano quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin.
comparacao,QUEM VENCE GOKU OU NARUTO?,Claro! Depende das regras da comparação e do universo.
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
personagem,QUEM É O GOJO?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. 😊
poderes,qual o poder do Goku??,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição."
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
poderes,o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
curiosidade,mano qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
curiosidade,Qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
saudacao,mano eae,Fala! Curte anime também? Posso recomendar mais.
recomendacao,mano anime engraçado,Spy x Family é uma ótima escolha. Curte esse tipo?
poderes,me responde aí: o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. 😊
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. 😊
poderes,me responde aí: o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
saudacao,Eae,Fala! Curte anime também? Posso recomendar mais.
despedida,me responde aí: tchau,Até mais! Bons episódios pra você. 😊
recomendacao,ME RECOMENDA UM ANIME DE AÇÃO,Você pode gostar de Attack on Titan. 😊
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
curiosidade,QUEM CRIOU NARUTO?,Naruto foi criado por Masashi Kishimoto. Posso recomendar mais.
despedida,mano tchau,Até mais! Bons episódios pra você. 😊
comparacao,me responde aí: qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
despedida,mano até logo,Claro! Até logo! Espero que encontre um anime incrível.
episodios,quantos episódios tem Naruto??,Claro! Naruto clássico possui 220 episódios.
curiosidade,QUAL ANIME MAIS LONGO?,Claro! Sazae-san é considerado o anime mais longo da história.
poderes,mano o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Posso recomendar mais.
despedida,me responde aí: tchau,Até mais! Bons episódios pra você.
saudacao,oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
episodios,me responde aí: quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
curiosidade,quem criou Naruto??,Naruto foi criado por Masashi Kishimoto. Posso recomendar mais.
personagem,me responde aí: quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Curte esse tipo?
poderes,Qual o poder do goku?,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
comparacao,me responde aí: qual anime é mais famoso?,Claro! One Piece e Dragon Ball estão entre os mais populares.
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo.
episodios,QUANTOS EPISÓDIOS TEM NARUTO?,Naruto clássico possui 220 episódios. Posso recomendar mais.
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. Posso recomendar mais.
saudacao,eae?,Claro! Fala! Curte anime também?
despedida,Até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
recomendacao,QUERO UM ANIME TRISTE,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
despedida,mano até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Astro Boy foi um dos primeiros animes populares. 😊
episodios,quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. 😊
curiosidade,Qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. Posso recomendar mais.
poderes,qual o poder do Goku??,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
poderes,o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
episodios,QUANTOS EPS TEM DEMON SLAYER?,Demon Slayer possui várias temporadas e filmes. 😊
episodios,mano quantos episódios tem Naruto?,Claro! Naruto clássico possui 220 episódios.
despedida,mano tchau,Claro! Até mais! Bons episódios pra você.
comparacao,me responde aí: Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. 😊
comparacao,mano qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
curiosidade,qual foi o primeiro anime?,Claro! Astro Boy foi um dos primeiros animes populares.
personagem,QUEM É O GOJO?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
comparacao,me responde aí: qual anime é mais famoso?,Claro! One Piece e Dragon Ball estão entre os mais populares.
personagem,me responde aí: quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
poderes,O QUE É SHARINGAN?,Sharingan é uma habilidade ocular do clã Uchiha.
recomendacao,anime engraçado,Spy x Family é uma ótima escolha.
poderes,O QUE É SHARINGAN?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
personagem,quem é o Levi??,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Curte esse tipo?
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
curiosidade,qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. Curte esse tipo?
personagem,me responde aí: quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
personagem,quem é o Levi??,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
comparacao,me responde aí: qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
despedida,até logo,Até logo! Espero que encontre um anime incrível.
comparacao,qual anime é mais famoso?,Claro! One Piece e Dragon Ball estão entre os mais populares.
despedida,TCHAU,Até mais! Bons episódios pra você. Curte esse tipo?
saudacao,Oi,Claro! Oi! Como posso ajudar sobre animes hoje?
despedida,falou?,Falou! Depois voltamos ao mundo dos animes. Posso recomendar mais.
saudacao,OI,Oi! Como posso ajudar sobre animes hoje? Posso recomendar mais.
comparacao,QUEM VENCE GOKU OU NARUTO?,Depende das regras da comparação e do universo. Curte esse tipo?
personagem,Quem é o gojo?,Claro! Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
saudacao,mano eae,Claro! Fala! Curte anime também?
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
despedida,Até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
curiosidade,qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Posso recomendar mais.
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
curiosidade,qual anime mais longo?,Claro! Sazae-san é considerado o anime mais longo da história.
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan. 😊
poderes,me responde aí: o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
comparacao,Naruto é melhor que One Piece??,Isso varia muito do gosto de cada fã. Posso recomendar mais.
recomendacao,Quero um anime triste,Your Lie in April costuma emocionar bastante.
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Astro Boy foi um dos primeiros animes populares. 😊
saudacao,eae?,Fala! Curte anime também? Posso recomendar mais.
episodios,mano quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. 😊
despedida,mano tchau,Até mais! Bons episódios pra você. 😊
personagem,quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
despedida,até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
recomendacao,Me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
despedida,mano tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
saudacao,bom dia,Claro! Bom dia! Quer conversar sobre qual anime?
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
comparacao,Naruto é melhor que One Piece?,Claro! Isso varia muito do gosto de cada fã.
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto.
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
curiosidade,qual foi o primeiro anime??,Astro Boy foi um dos primeiros animes populares. Curte esse tipo?
comparacao,me responde aí: Naruto é melhor que One Piece?,Claro! Isso varia muito do gosto de cada fã.
despedida,até logo,Até logo! Espero que encontre um anime incrível. 😊
despedida,Até logo,Até logo! Espero que encontre um anime incrível. 😊
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
personagem,me responde aí: quem é o Levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
poderes,o que é bankai?,Claro! Bankai é a forma avançada da espada dos shinigamis em Bleach.
poderes,O QUE É SHARINGAN?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
episodios,One piece acabou?,"Não, One Piece ainda está em exibição."
recomendacao,ANIME ENGRAÇADO,Claro! Spy x Family é uma ótima escolha.
comparacao,Naruto é melhor que One Piece??,Claro! Isso varia muito do gosto de cada fã.
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. 😊
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin.
despedida,ATÉ LOGO,Até logo! Espero que encontre um anime incrível. 😊
despedida,TCHAU,Até mais! Bons episódios pra você. Curte esse tipo?
despedida,FALOU,Claro! Falou! Depois voltamos ao mundo dos animes.
poderes,qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
saudacao,me responde aí: eae,Fala! Curte anime também? Posso recomendar mais.
despedida,até logo,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
despedida,mano tchau,Até mais! Bons episódios pra você. Curte esse tipo?
recomendacao,ME RECOMENDA UM ANIME DE AÇÃO,Claro! Você pode gostar de Attack on Titan.
despedida,até logo,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
comparacao,Naruto é melhor que One Piece??,Claro! Isso varia muito do gosto de cada fã.
despedida,Falou,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
saudacao,eae?,Fala! Curte anime também? 😊
personagem,me responde aí: quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
curiosidade,mano qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. Curte esse tipo?
